time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,14,5,0,0
2026-04-10 00:00:00+00:00,12,3,0,0
2026-04-11 00:00:00+00:00,12,7,0,0
2026-04-12 00:00:00+00:00,12,7,0,0
2026-04-13 00:00:00+00:00,22,6,0,0
2026-04-14 00:00:00+00:00,32,10,0,0
2026-04-15 00:00:00+00:00,10,5,0,0
2026-04-16 00:00:00+00:00,21,7,1,1
2026-04-17 00:00:00+00:00,9,5,0,0
2026-04-18 00:00:00+00:00,16,7,0,0
2026-04-19 00:00:00+00:00,33,13,0,0
2026-04-20 00:00:00+00:00,65,25,0,0
2026-04-21 00:00:00+00:00,76,30,0,0
2026-04-22 00:00:00+00:00,95,31,0,0
