time_iso8601,stars_cumulative
2018-03-09 00:00:00+00:00,1
2018-06-29 00:00:00+00:00,2
2018-08-30 00:00:00+00:00,3
2018-09-09 00:00:00+00:00,4
2019-02-09 00:00:00+00:00,5
2019-12-13 00:00:00+00:00,6
2020-05-17 00:00:00+00:00,7
2020-08-27 00:00:00+00:00,8
2021-08-11 00:00:00+00:00,9
2021-10-11 00:00:00+00:00,10
2023-03-26 00:00:00+00:00,11
